headword,pos,supplement,entry,meaning,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,folder,"紙ばさみ  / (印刷した1枚の紙を数ページに折り畳んだ)折り本;折り畳み広告,折り畳み時間表,折り畳み地図  / 折り畳む人;(紙などの)折り畳み機",/ˈfoʊldər/,16387,I put the documents in a folder to keep them organized.,私は書類をフォルダに入れて整理している。,1639136
,,,foreman,"〈C〉(工場などの)職長, (建設工事などの)監督 / 陪審長",/fɔrˈmæn/,16569,The foreman is responsible for overseeing the construction site.,現場監督は工事現場の監督を担当しています。,1640494
,,,fountain,"泉(spring);水源  / 噴水;噴水池:  / =drinking fountain  / (…の)源,源泉《+of+名》",/ˈfaʊntən/,16751,The fountain in the park is a popular spot for visitors.,公園の泉は、訪れる人々に人気のスポットです。,2998881
,,,frustrate,"〈計画・努力など〉‘を'ざ折させる,失敗させる  / (計画などで)〈人〉‘を'ざ折させる,‘の'やる気をくじく《+名+in+名》",/frʌˈstreɪt/,17128,The constant setbacks frustrate her efforts to succeed.,継続的な挫折は彼女の成功への努力を挫かせる。,2998967
,,,generous,"気前のよい;心が大きい,寛容な  / 大きい;豊富な,十分な",/dʒɛnərəs/,17677,She is known for her generous nature.,彼女は気前のよい性格で知られている。,2999091
,,,generalization,"〈U〉一般化すること,概括すること  / 〈C〉一般的な考え(説明,法則),一般論",/dʒɛnərəlaɪˈzeɪʃən/,17663,Generalization is an important concept in computer science.,一般化はコンピュータ科学において重要な概念です。,6535942
,,,graduation,"〈U〉卒業(《英》では大学の卒業に限る)  / 〈C〉《米》卒業式  / 〈C〉(計器などの)目盛リ,度盛リ",/ˌɡrædʒuˈeɪʃən/,18325,I will be attending my graduation ceremony next week.,来週、私は卒業式に出席します。,2999261
,,,graphics,《単数扱い》製図法  / 《複数扱い》=graphic arts,/ˈɡræfɪks/,18416,I studied graphics in college.,私は大学で製図法を勉強しました。,2999281
,,,graphic,"生々しい, 詳細な / 画像の, 図表を用いた",/ˈɡræfɪk/,18413,The graphic details of the crime scene were too disturbing to look at.,犯罪現場の生々しい詳細は見るに耐えなかった。,2999282
,,,browse,"〈自〉〈他〉漫然とながめる,ざっと目を通す；食べる、〈牛・シカなどが〉若葉(新芽)を食べる,草を食べる 　",/ braʊz /,5386,I like to browse through books at the bookstore.,私は本屋で本を眺めるのが好きです。,1642041
,,,gymnasium,"(また《話》[[gym]])体育館,屋内体操場  / 《G-》(ドイツの)9年制高等学校",/ˌdʒɪmˈneɪziəm/,18872,I go to the gymnasium every day to work out.,私は毎日体育館に行ってトレーニングをします。,2999406
,,,hamburger,《米》〈U〉牛のひき肉(ground beef)  / (またHamburg steak)〈C〉ハンバーグステーキ(牛のひき肉を焼いたもの)  / 〈C〉(また《米話》burger)ハンバーガー(ハンバーグステーキをはさんだサンドイッチ),/ˈhæm.bɝ.ɡɚ/,19103,I'm going to have a hamburger for lunch.,ランチにハンバーガーを食べるつもりなんだ。,1624437
,,,handy,"取り扱いに便利な,手ごろな,重宝な  / 《話》すぐ手元の,すぐ使える(at hand)  / (人が)器用な,手先の達者な;(…を)巧みに使う《+at(about, with)+名》",/'hændi/,19167,This handy tool makes it easy to fix small problems.,この便利なツールを使用すると、小さな問題を簡単に修正できます。,2999479
,,,hardware,"《集合的に》金物類,鉄器類  / ハードウエア(電子計算機の機械部分)",/ˈhɑːrdwɛər/,19267,I need to buy some new hardware for my computer.,私はコンピューターのために新しい金物類を買う必要があります。,2999510
,,,headache,頭痛  / 《話》悩みの種,/ˈhɛdˌeɪk/,19453,I have a headache.,私は頭痛がします。,1623428
,,,hesitation,ためらい / 迷い,/hɛzɪˈteɪʃən/,19807,Her hesitation made me doubt her sincerity.,彼女のためらいが、私に彼女の誠実さを疑わせました。,6150334
,,,homemade,"【形】自家製の,手製の；国産の",/həʊmˈmeɪd/,20197,I love eating homemade cookies.,私は自家製のクッキーを食べるのが大好きです。,2999754
,,,hospitality,"〈U〉(客や他人に対する)親切なもてなし,歓待  / 〈C〉もてなす心",/hɑːˌspɪˈtæləti/,20420,The hotel staff provided excellent hospitality to their guests.,ホテルのスタッフは、ゲストに対して素晴らしいおもてなしを提供しました。,2999819
,,,hungry,"飢えた,空腹の;空腹にさせる  / 《補語にのみ用いて》(…を)熱望して,渇望して《+after(for)+名》  / (土地などが)不毛の,やせた",/ˈhʌŋɡri/,20661,The hungry cat was meowing loudly.,腹ペコな猫が大きな声で鳴いていた。,1623453
,,,hurricane,"(西インド緒島などに発生する熱帯性の)リリケーン,大施風;大暴風  / (感情などの)激発",/ˈhɜːrɪkən/,20685,The hurricane caused widespread destruction along the coast.,そのハリケーンは沿岸地域で広範な破壊を引き起こしました。,2999903
,,,ink,(筆記用・印刷用)のインク,/ɪŋk/,21933,I need to buy some ink for my printer.,プリンター用のインクを買わないといけない。,3000214
,,,intonation,"(声の)抑揚,音調  / 詠唱,吟唱",/ˌɪn.təˈneɪ.ʃən/,22385,She spoke with a clear intonation.,彼女は明瞭な抑揚で話した。,3000337
,,,journalism,"ジャーナリズム(新聞雑誌・テレビなど報道業;その世界)  / 《集合的に》新聞雑誌  / (大学の)新聞学科,ジャーナリズム科  / 新聞雑誌[向き]の文[章]",/dʒɜːrˈnəlɪzəm/,23052,She studied journalism in college and now works as a reporter for a major newspaper.,彼女は大学でジャーナリズムを学び、今は大手新聞社の記者として働いています。,3000515
,,,commute,"〈他〉《文》 《別のものに》 ...を振り返る, を切り替える 《to, for ...》 / 〈自〉《...間を》 定期券で通勤する《between ...》 /",/kəˈmjuːt/,8607,I commute to work by train every day.,私は毎日電車で通勤しています。,3009683
,,,compact,"【形】ぎっしり詰まった, 緊密な, 引き締まった / こぢんまりして経済的な,小さくまとまった / (文体などが)簡潔な / 【動/他】…をぎっしり詰める, を圧縮する",/kəmˈpækt/,8610,This compact suitcase can fit all your belongings.,このコンパクトなスーツケースには、すべての荷物が収まります。,1642160
,,,compact,"【名/U/C】契約,盟約 / 【動/自】《…と》契約する《with ...》",/kəmˈpækt/,8611,I bought a compact car for easy parking in the city.,都市での駐車が簡単になるため、コンパクトカーを買いました。,3009687
,,,ladder,"はしご  / (立身出世の)手段,手づる  / 《英》(靴下・編み物などの)伝線,ほつれ(《米》run)",/ˈlædər/,23716,He climbed up the ladder to reach the roof.,彼は屋根にたどり着くためにはしごを登った。,3000670
,,,laundry,《集合的に》洗濯[物]  / 〈C〉クリーニング屋  / 洗濯室(laundry room)《形容詞的に》,/'lɔːndri/,24007,I need to do the laundry today.,今日は洗濯をしなければならない。,3000739
,,,lightweight,"【形】軽量の, ライト級の / (内容などが)まじめでない, つまらない / (力量などが) たいしたことでない / 【名/C】つまらないもの / ライト級選手",/ˈlaɪtweɪt/,24513,This backpack is lightweight and easy to carry.,このバックパックは軽量で持ち運びが簡単です。,3000870
,,,diploma,"〈C〉(大学・専門学校などの)卒業証書,修了証書 / (一般に)免許状, 賞状 /  《複数形で》古文書",/dɪˈploʊmə/,11957,She proudly displayed her diploma on the wall.,彼女は誇らしげに壁に彼女の卒業証書を飾った。,2997622
,,,directory,"【名/C】人名簿；住所録；登録簿 / 【形】管理の, 指揮の",/dɪˈrɛktəri/,11996,I need to create a new directory for the project.,プロジェクトのために新しいディレクトリを作成する必要があります。,2997635
,,,downturn,"〈C〉(景気などの)下降,下押し, 低迷 / 折り返し",/ˈdaʊntɜrn/,12818,The recent economic downturn has affected many businesses.,最近の経済の低迷は多くの企業に影響を与えています。,1640943
,,,loudly,"大声で,騒々しく,声高に  / はでに,けばけばしく",/ˈlaʊdli/,25079,She spoke loudly to make sure everyone could hear her.,彼女はみんなが彼女の声を聞けるように大声で話した。,3001023
,,,lounge,"(…に)ゆったりと寄り掛かる(座る,横になる)《+against(on, in)+名》  / (…を)ぶらぶら歩く,ぶらつく《+about+(around)+名》  / 〈C〉(ホテル・クラブ・船などの)休憩室,娯楽室,社交室  / 〈C〉寝いす,安楽いす  / 〈U〉《しばしばa~》ぶらぶら歩き",/laʊndʒ/,25088,I like to relax in the lounge and read a book.,私はラウンジでゆったりと寄り掛かって本を読むのが好きです。,3001025
,,,luncheon,昼食  / (正式接待の場所の)午餐(ごさん),/ˈlʌntʃən/,25268,I had a delicious luncheon with my colleagues.,私は同僚と美味しい昼食をとりました。,3001060
,,,faculty,"〈C〉《...の》才能《for, of ...》 / (身体器官の) 機能, (精神的)能力 / (大学の) 学部 / (大学の学部の) 教授団",/'fækəlti/,15089,The faculty of this university is highly respected.,この大学の教員は非常に尊敬されています。,2998449
,,,fixture,"〈C〉(住宅などに取り付けた)付属設備 / (同一職業・地位などに)長く留まっている人, お決まりのもの, 定番 / (一定の期日に行われる)競技種目",/fɪkstʃər/,15953,"The new chandelier became a beautiful fixture in their dining room, enhancing the overall ambiance.",新しいシャンデリアはダイニングルームの美しい装飾品となり、全体的な雰囲気を高めました。,1627622
,,,mall,木陰の散歩道;遊歩道  / 《米》歩行者専用の商店街・ショッピングモール,/mɔːl/,25652,I went to the mall to buy some new clothes.,私は新しい服を買うためにショッピングモールに行きました。,3001149
,,,gum,"〈U〉ガム, ゴム / ゴムのり / チューインガム / 目やに",/ɡʌm/,18797,I chewed a piece of gum after lunch.,昼食後にガムを噛みました。,2999391
,,,manual,"手でする,手細工の",/mænjuəl/,25817,I prefer manual labor over using machines.,私は機械を使うよりも手作業を好む。,3001186
,,,massage,"マッサージ,あんま術",/ˈmæsɑːʒ/,26028,I booked a massage for tomorrow.,明日、マッサージを予約しました。,3001247
,,,medication,"〈C〉〈U〉薬剤,医薬品  / 〈U〉薬剤を添加(投入)すること;薬物治療",/mɛdɪˈkeɪʃən/,26296,I need to take my medication every day.,私は毎日薬を飲まなければなりません。,1635156
,,,memo,"メモ,覚え書き  / (会社内などの)連絡メモ",/'miː.moʊ/,26385,I wrote a memo to remind myself of the important tasks.,重要なタスクを思い出すためにメモを書きました。,1665380
,,,mineral,"(動植物に対して)無機物  / 鉱物,鉱石  / 《複数形で》《英》炭酸水,清涼飲料(mineral water)",/mɪnərəl/,26917,Plants require minerals for their growth.,植物は成長に無機物を必要とします。,1643200
,,,pastry,【名/U】練り粉 / 【名/C/U】(パイなどの) 練り粉製のケーキ,/'peɪstri/,30832,I love to eat pastry for breakfast.,朝食にペイストリーを食べるのが大好きです。,3002540
,,,unemployed,"仕事のない,失業した  / 利用してない,遊ばせてある",/ʌnɪmˈplɔɪd/,45111,He has been unemployed for six months.,彼は6ヶ月間仕事のない状態です。,3006169
,,,pole,"〈C〉(木製・金属性などの)棒, さお / 柱 / (牛車・馬車の)ながえ",/poʊl/,32460,I saw a bird perched on top of the pole.,私はポールの上にとまった鳥を見ました。,3002911
,,,parcel,"〈C〉《...の》包み, 小包《of ...》",/'pɑːrsəl/,30624,I received a parcel in the mail today.,今日、郵便で小包を受け取りました。,3002484
,,,glove,(五指の分かれている)手袋  / (野球の)グローブ;(ボクシング用の)グラブ  / …‘に'手袋をはめる  / (野球で)〈ボール〉‘を'グローブで捕る,/ɡlʌv/,18046,I put on my glove to keep my hands warm.,手を暖かく保つために手袋をはめました。,2999169
,,,jazz,"〈U〉《音楽》ジャズ / 《俗》大ぼら,大うそ",/dʒæz/,22839,She is interested in jazz.,彼女はジャズに興味がある。,18583
,,,bookstore,"書,本屋(《英》bookshop)",/ˈbʊk.stɔːr/,4800,I went to the bookstore to buy a new book.,私は新しい本を買うために書店に行きました。,1624012
,,,overdue,支払いの期限が過ぎた / 未払いの / （予定より）遅れている,/ˌoʊvərˈdu/,30092,The bill is overdue and needs to be paid immediately.,請求書の支払い期限が過ぎており、すぐに支払う必要があります。,3002345
,,,tuition,"〈U〉(大学・私立学校などの)授業料 / 《かたく》《...の》授業,教授《in ...》",/tjuˈɪʃən/,44475,The tuition for this university is quite expensive.,この大学の授業料はかなり高いです。,3006014
,,,paralegal,【名/C】弁護士補助員,/pærəˈliːɡəl/,48362,She works as a paralegal at a law firm.,彼女は法律事務所でパラリーガルとして働いています。,1637526
,,,desktop,〈U〉〈C〉デスクトップ / 机の表面,/'dɛsktɒp/,48367,My desktop has gotten cluttered.,デスクトップがグチャグチャになってきた。,114131
,,,prohibit,"(法律あるいは権威をもって)…を禁止する, を禁ずる / （物事が）…を妨げる",/prəˈhɪbɪt/,33579,Smoking is prohibited in this area.,このエリアでは喫煙は禁止されています。,1628758
,,,rack,"〈C〉《しばしば複合語を作って》(枠・網・棒などで作られた)…掛け, ...のせ, ...棚 / 拷問台",/ræk/,34561,I need to buy a new rack for my kitchen.,私はキッチン用の新しいラックを買う必要があります。,3003412
,,,resume,"〈他〉〈中断した仕事・話など〉を再び始める, を再び続ける / …を再び取る, 取り戻す / 〈自〉再び始める",/rɪˈzuːm/,35871,We’ll resume the meeting at 10:30 tomorrow.,明日は10:30からミーティングを再開します。,3003817
,,,rubber,"〈U〉ゴム / 〈C〉《英》ゴムの製品,消しゴム / こする物",/ˈrʌbər/,36626,I need to buy a new rubber for my pencil.,私は鉛筆用の新しい消しゴムを買う必要があります。,3003985
,,,sometime,"(未来の)いつか, そのうち / 《未来の時を表す語句の前で》( ...の)あたりで, ある時点で / (過去の)あるとき",/sʌm.taɪm/,39917,I will meet with my friend sometime next week.,来週あたり、友人と会う予定です。,1623327
,,,spray,"〈U〉《水や他の液体の》しぶき 《of ...》 / 〈C〉噴霧器,スプレー",/spreɪ/,40479,By means of a super high-pressure water spray practically all the sediment is removed.,超高圧水の噴射により、ほとんどの詰まりが排除される。,1295
,,,stapler,"【名/C】ホッチキス, 製本機, 針金つづり機",/ˈsteɪplər/,40750,I need to buy a new stapler for my office.,私はオフィス用に新しいホッチキスを買う必要があります。,3005036
,,,sue,"《...の件で》 を訴える《for ...》 / 《...の件で》訴える, 告訴する《for ...》 / 《...を》請求する; 懇願する《for ...》",/suː/,41636,Sue decided to sue the company for wrongful termination.,スーは不当解雇で会社を訴えることに決めました。,3005266
,,,wrinkle,"【名/C】(布地・皮膚の)しわ,ひだ / 【動/他】…にしわを寄せる』 / 【動/自】しわが寄る",/ˈrɪŋkəl/,47954,She uses a special cream to reduce the appearance of wrinkles.,彼女はしわの見た目を減らすために特別なクリームを使っています。,3006897
,,,remainder,"〈U〉《集合的に;複数扱い; the ~》残り,残りの人(物) / 〈C〉(引き算の)残り, (割り算の)余り",/ɹɪˈmeɪndər/,35535,"I have finished my work, but there is still a remainder of tasks to be completed.",仕事は終わったが、まだ残りのタスクがある。,3003703
,,,humidity,"【名/U】湿気, 湿度",/hjuːˈmɪdɪti/,20622,The humidity in the room was so high that my clothes felt damp.,部屋の湿度が高すぎて、服が湿った感じがした。,2999880
,,,slot,"細長いみぞ(くぼみ,口);(自動販売器などの)料金投入口  / (リスト・予定表・ある組合せなどの中で占める)場所,位置",/slɒt/,39423,I found a coin in the slot.,隙間の中にコインを見つけた。,3004684
,,,appreciation,"〈U〉(…を)正しく認識すること,(…の)識別,評価《+of+名》  / 〈U〉《時にan~》(文学・芸術などの)理解,鑑賞;批評,論評《+of+名》  / 〈U〉(…に対する)感謝《+for+名》  / 〈U〉《時にa~》(価格の)騰貴",/əˌpriːʃiˈeɪʃən/,1965,Your appreciation of the situation is accurate.,状況に対するあなたの認識は正確です。,2996170
,,,valid,"(理論・理由などが) 妥当な /  (契約・法律などが) 合法的な, 正当な / (ある条件のもとで)有効な",/'vælɪd/,45804,The argument presented in the paper is valid.,論文で提示された議論は妥当です。,3006354
,,,coordinator,調和させる人(物),/kəʊˈɔːrdɪneɪtər/,9387,The coordinator ensured that all team members were working together smoothly.,コーディネーターは、すべてのチームメンバーがスムーズに協力していることを確認しました。,1638099
,,,compatible,"《...と》両立できる, 矛盾のない, 互換性のある《with ...》 / 《be ~ with ...》《...と》うまがあう",/kəmˈpætəbəl/,8638,These two software programs are compatible with each other.,これらの2つのソフトウェアプログラムは互換性があります。,1629323
,,,terminal,終わりの / 死に至る,/'tɜːrmɪnəl/,42877,"Her illness, diagnosed as a rare and terminal form of leukemia, left her with only months to live.",彼女は珍しい末期の白血病と診断され、余命数カ月と宣告された。,3010857
,,,similarity,"〈U〉類似,相似 / 〈C〉類似点",/sɪmɪˈlærəti/,38973,There is some similarity in the way they sing.,彼らの歌い方にはいくつかの類似点がある。,1017200
,,,letterhead,【名/C】レターヘッド（便箋上部の会社名･住所などの印刷） / レターヘッドのついた便せん,/ˈlɛtərhɛd/,24325,The company logo and contact information are printed on the letterhead.,会社のロゴと連絡先情報がレターヘッドに印刷されています。,1634013
,,,unauthorized,"認可されていない,権限のない, 不正な",/ʌnˈɔːθəraɪzd/,48386,The unauthorized access to the system was detected and blocked.,システムへの不正アクセスが検出され、ブロックされました。,1628201
,,,oval,"卵形の,楕円形の",/ˈoʊvəl/,30039,The table had an oval shape.,テーブルは卵形をしていました。,3002326
,,,introductory,【形】紹介の / 前置きの / 序文の,/ɪnˈtrədʌktəri/,22414,This is an introductory course to computer programming.,これはコンピュータプログラミングの紹介コースです。,1657686
,,,operational,"【形】操作上の / 作戦上の / (航空機などが)いつでも使用できる,操作できる",/ˌɑpəˈreɪʃənəl/,29653,The operational procedures need to be followed strictly.,操作手順は厳密に従う必要があります。,3002221
,,,managerial,"経営上の, 管理上の / 経営者の",/mænˈɪdʒəriəl/,25710,He has excellent managerial skills.,彼は優れた経営上のスキルを持っています。,3001165
,,,fiscal,"財務の,会計の / 国庫の",/fɪskəl/,15894,The government implemented various fiscal policies to stimulate economic growth.,政府は経済成長を促進するために様々な財政政策を実施しました。,1628578
,,,incur,"(損害・非難・危険など)を招く,をこうむる",/ɪnˈkɜr/,21522,His reckless behavior could incur serious consequences.,彼の無謀な行動は重大な結果を招くかもしれません。,3000108
,,,signify,意味する、示す、表す、知らせる、重要である,/sɪɡnɪfaɪ/,38920,The ringing of the bell will signify the start of the ceremony.,鐘の鳴り声は式の始まりを示す。,3004564
,,,anew,"【副】《文》新たに,再び",/əˈnju/,1523,He started anew after his failed business.,彼は失敗したビジネスの後、新たに始めました。,1657693
,,,fleet,"〈C〉車両, 艦隊 /   (車・飛行機などの)隊,団 《of ...》",/fliːt/,16100,The company operates a fleet of trucks for its delivery service.,同社は配送サービスのためにトラックを運行しています。,1628668
,,,affirmative,"【形】肯定的な / 【名/U/C】肯定, 是認 / 【名/C】肯定語 / 《the ~》 (討論会での)賛成者側",/əˈfɜː.mə.tɪv/,723,She gave an affirmative nod to his proposal.,彼の提案に彼女は肯定的なうなずきをした。,2995831
,,,fluctuate,"(価格・数量などが) 変動する,上下する / (気分などが) 揺れ動く, 動揺する",/ˈflʌktʃueɪt/,16247,The stock prices fluctuate daily.,株価は毎日変動する。,2998748
,,,overcrowd,"《人,物を》…に詰め込み過ぎる, 《...で》を混雑させる《with ...》",/ˌoʊvərˈkraʊd/,30079,The classroom was so overcrowded that some students had to stand.,教室はとても混み合っていたので、何人かの生徒は立っていなければなりませんでした。,1622797
,,,likewise,"《かたく》 同様に / 《かたく》 …もまた / さらに / 《話》 同様です, こちらこそ",/ˈlaɪkwaɪz/,24528,"I enjoy reading, and likewise, my sister loves to read.",私は読書を楽しんでいますし、同様に、私の姉も読書が大好きです。,3000882
,,,postage,"〈U〉郵便料金, 郵送料",/'poʊstɪdʒ/,32772,The postage for this package is $10.,この荷物の郵便料金は10ドルです。,3002986
,,,refinery,"〈C〉精製所, 精錬所, 製油所",/ɹɪˈfaɪnəɹi/,35318,The new refinery in the outskirts of town has created many job opportunities for the locals.,郊外にできた製油所は、地元の人たちに多くの雇用の機会を与えています。,1627115
,,,culinary,"《かたく》 台所の, 料理の, 台所用の, 料理用の",/kjuːlɪnɛri/,10346,Many famous chefs from around the world have studied at this small culinary school in France.,フランスのこの小さな料理学校で、世界中から多くの有名なシェフが学びました。,1017100
,,,administrative,行政上の / 管理の / 経営の,/ædˈmɪnɪstrətɪv/,544,The administrative procedures in this office are quite complex.,このオフィスの行政手続きはかなり複雑です。,2995782
,,,ray,"〈C〉光線, 熱線, 放射線 / 《a ~》《希望などの》一筋(ひとすじ), ごく少量《of ...》 / 放射状に突き出たもの",/reɪ/,34909,The sun's rays warmed my face.,太陽の光線が私の顔を温めた。,3003502
,,,lawn,"〈C〉芝生, 芝生地",/lɔn/,24033,The children played on the lawn.,子供たちは芝生で遊んだ。,3000747
,,,lighter,"〈C〉(たばこの)ライター  / (一般に)点火器  / 火をつける人, 明かりをつける人",/ˈlaɪtər/,24492,I need a lighter to start the campfire.,キャンプファイヤーを始めるためにライターが必要です。,3000864
,,,mild,"(態度などが) 柔和な / (程度などが) 適度な, ほどよい",/mɑɪld/,26791,She has a mild temperament.,彼女は柔和な気質を持っています。,3001454
,,,kit,"〈C〉(特定の目的のための) 用具一式 / 一式の用具を入れる箱, 《主に英国で用いられる》〈…に〉〔…の〕装備をつけさせる 〈out，up〉〔with〕.",/kɪt/,23450,I bought a new tool kit for my home repairs.,私は家の修理のために新しい工具セットを買いました。,3000605
,,,tow,"【動/他】(ロープや鎖で)〈自動車など〉を引く, を引っ張って行く / 【名/C】引くこと / 引かれていく車（船） / 【名/U】引かれている状態",/təʊ/,43825,I need a tow truck to move my car.,私の車を移動するためにレッカー車が必要です。,1664465
,,,nap,"〈C〉(特に日中の) ひと眠り ,昼寝",/næp/,28090,I like to take a nap in the afternoon.,私は午後に昼寝するのが好きです。,3001790
,,,staple,"【名/C】《複数形で》(ある国・地方の)主要産物 / 必需食品 / 主要素,主成分 / 【名/U】繊維, (繊維の)標準品位 / 原料 / 【形】主要な,重要な / (ある地域の)特産の",/steɪpl/,40748,Rice is a staple food in many Asian countries.,米は多くのアジアの国で主食です。,3005039
,,,tuna,〈C〉マグロ / マグロの肉,/ˈtuː.nə/,44497,I love eating tuna sushi.,私はマグロの寿司を食べるのが大好きです。,3006025
,,,cashier,"【名/C】会計係, レジ係 / 現金出納係",/'kæʃiər/,6535,The cashier rang up my groceries.,レジ係が私の食料品を会計しました。,3009286
,,,resume,"〈C〉概要,摘要,あらまし / レジュメ / 《米》 履歴書",/rɪˈzjuːm/,35872,I need to update my resume before applying for the job.,仕事に応募する前に履歴書を更新する必要があります。,3003815
,,,violation,"〈C〉(約束・法律などの)違反,無視",/vaɪəˈleɪʃən/,46266,He was charged with a violation of the law.,彼は法律違反で告訴された。,3006450
,,,sincerely,"真心込めて, 心から",/sɪnˈsɪrli/,39015,I sincerely apologize for the mistake.,私はミスを真心込めて謝罪します。,3004591
,,,resemble,似ている、類似している,/rɪˈzɛmbəl/,35759,They resemble each other in appearance.,彼らは容姿が似ている。,2995392
,,,strategic,"(比較変化なし)戦略の,計略の / 戦略上重要な",/strəˈtɛdʒɪk/,41235,The company's strategic plan focused on expanding their market share by launching new products and acquiring smaller competitors.,同社の戦略計画は、新製品の発売と小規模な競合他社の買収によって市場シェアを拡大することに重点を置いていました。,1627749
,,,bulk,"【名/U】《...の》 大部分, 大半 《the ~ of ...》 / 容量, かさ / (船の)積み荷  / 【形】大口の / 大量の / 【動/自】かさばる / 【動/他】を大きく見せる",/bʌlk/,5518,I bought a bulk package of toilet paper.,私はトイレットペーパーの大量パッケージを買いました。,3009083
,,,chronic,"（病気が）長期にわたる,慢性の /  常習の,癖になった",/ˈkrɑnɪk/,7506,He has been suffering from chronic back pain for years.,彼は何年も慢性の腰痛に苦しんでいます。,3009484
,,,seminar,"(指導教授のもとで行う大学の)研究(演習)グループ,研究会,演習,セミナー,ゼミナール",/ˈsɛmɪnɑr/,38045,I joined a seminar to conduct research under the guidance of my professor.,私は教授の指導のもとで研究を行うためにセミナーに参加しました。,3004333
,,,airplane,飛行機(《英》[[aeroplane]]),/ˈɛərpleɪn/,971,I will take an airplane to travel to Japan next month.,来月、日本へ旅行するために飛行機に乗る予定です。,2995904
,,,homework,"(生徒の)宿題,学庭学習  / (教師の)授業準備,講義の下調べ  / 自宅でする仕事;内職",/həʊmwɜːk/,20218,I'll finish my homework and go to bed.,宿題を終わらせて寝よう。,1623974
,,,textbook,教科書,/'tɛkst.bʊk/,42958,I forgot to bring my textbook to class.,授業に教科書を持ってくるのを忘れてしまった。,3005625
,,,presenter,テレビ(ラジオ)ショーの司会者,/prɪˈzɛntər/,33199,The presenter of the TV show is very charismatic.,テレビショーの司会者はとてもカリスマ的です。,1645146
,,,cleanliness,きれい好き;清潔,/ˈklēnlɪnəs/,7810,cleanliness is next to godliness,きれい好きは敬神に次ぐ美徳,3009528
,,,fortunately,"運よく,幸いにも",/fɔrˈtʃunətli/,16699,"Fortunately, I found my lost wallet.",運よく、私は失くした財布を見つけました。,2998864
,,,indoor,"室内の,屋内の",/ˈɪn.dɔr/,21669,"I prefer indoor activities, such as reading or painting.",私は読書や絵画などの室内の活動を好みます。,3000142
,,,neat,きちんとした,/niːt/,28269,She keeps her room neat and tidy.,彼女は部屋をきちんと整理しています。,3001841
,,,pottery,"〈U〉製陶術,陶器製造  / 〈U〉《集合的に》陶器類  / 〈C〉陶器製造所",/pɒtəri/,32869,She learned pottery from a master craftsman.,彼女は名工から製陶術を学んだ。,3003005
,,,programmer,プログラム(番組)を作る人;(コンピューターの)プログラマー,/prəˈɡræmər/,33574,The programmer is working on a new software project.,プログラマーは新しいソフトウェアプロジェクトに取り組んでいます。,3003208
,,,protective,"保護の,保護する;(…を)保護する《+toward+名》",/prəˈtɛktɪv/,33764,Wearing a helmet is important for protective purposes.,ヘルメットを着用することは保護のために重要です。,3003256
,,,sunny,"(天候・場所などが)日のよくさす(当たる)  / 雲のない  / (物事が)明るい,陽気な,快活な",/'sʌni/,41789,The sunny day made everyone happy.,晴れた日が誰もが幸せな気持ちにさせた。,1623839
,,,tablecloth,"テーブル掛け,テーブルクロス",/ˈteɪbəlklɔθ/,42335,The tablecloth adds a touch of elegance to the dining table.,テーブル掛けはダイニングテーブルにエレガントな雰囲気を加えます。,3005469
,,,tasty,"(特に塩味)おいしい,味が良い  / 《話》(特に情報が)おもしろい,興味がある",/ˈteɪsti/,42562,This dish is so tasty!,この料理はとてもおいしいです！,3005521
,,,shopper,〈C〉買い物客 / ちらし,/ˈʃɒpər/,38649,The shopper bought a new dress.,その買い物客は新しいドレスを買いました。,3004477
,,,unexpected,"予期しない, 思いがけない",/ʌnɪkˈspɛktɪd/,45129,I received an unexpected gift from my friend.,友達から予期しないプレゼントをもらった。,3006174
,,,trainee,"訓練(特に職業訓練)を受けている人,徒弟,見習い  / 《米》(軍事教練を受ける)新兵",/ˌtɹeɪˈniː/,43948,The trainee is learning new skills at the company.,訓練生は会社で新しいスキルを学んでいます。,3005896
,,,unpaid,"未払いの,未納の  / 無給の,無報酬の",/ʌnˈpeɪd/,45343,He has several unpaid bills.,彼はいくつかの未払いの請求書を持っています。,3006240
,,,unnecessary,不要な,/ʌnˈnɛsəˌsɛri/,45329,Using unnecessary force will only cause more harm.,不要な力を使うと、ますます害を引き起こすだけです。,3006235
,,,knowledgeable,精通している / 熟知した / 博識の,/nɑlɪdʒəbəl/,23554,She is knowledgeable about various topics.,彼女はさまざまなトピックに精通しています。,3000624
,,,architectural,【形】建築術(学)の；建築の,/ˌɑːr.kɪˈtɛk.tʃər.əl/,2108,The architectural design of the building is both functional and aesthetically pleasing.,建物の建築設計は機能的であり、美的にも魅力的です。,1658855
,,,bacteria,"バクテリア,細菌",/bækˈtɪər.i.ə/,3030,The bacteria in our gut play a crucial role in our overall health.,私たちの腸内のバクテリアは、全体的な健康に重要な役割を果たしています。,2996478
,,,bench,"ベンチ,長いす  / 〈U〉(職人・技師・科学者の)作業台,実験台,細工台  / 長くて狭い段丘  / 《the~》(スポーツの)選手席,ベンチ;《集合的に》補舌選手たち  / 〈C〉裁判官席;〈U〉裁判官の職(地位)  / 《集合的に》《the~》裁判官[たち]  / 〈C〉(英国議会などの)議席  /",/bɛntʃ/,3836,I sat on the bench in the park.,私は公園のベンチに座った。,2996673
